#license: CC-BY-4.0
#mapping_set_id: HeritageGraph
#mapping_tool: https://w3id.org/linkml/
#creator_id: linkml_user
#mapping_date: 2026-06-23
#curie_map: 
# heritageGraph: https://w3id.org/heritagegraph/
# linkml: https://w3id.org/linkml/
# rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
# rdfs: http://www.w3.org/2000/01/rdf-schema#
# owl: http://www.w3.org/2002/07/owl#
# xsd: http://www.w3.org/2001/XMLSchema#
# skos: http://www.w3.org/2004/02/skos/core#
# dcterms: http://purl.org/dc/terms/
# dct: http://purl.org/dc/terms/
# pav: http://purl.org/pav/
# void: http://rdfs.org/ns/void#
# geo: http://www.opengis.net/ont/geosparql#
# time: http://www.w3.org/2006/time#
# wgs84: http://www.w3.org/2003/01/geo/wgs84_pos#
# aat: http://vocab.getty.edu/aat/
# tgn: http://vocab.getty.edu/tgn/
# wikidata: http://www.wikidata.org/entity/
# schema: http://schema.org/
# dbo: http://dbpedia.org/ontology/
# foaf: http://xmlns.com/foaf/0.1/
# edm: http://www.europeana.eu/schemas/edm/
# orcid: https://orcid.org/
# localcontexts: https://voc.localcontexts.org/
# datacite: http://purl.org/spar/datacite/
# prov: http://www.w3.org/ns/prov#
# crm: http://www.cidoc-crm.org/cidoc-crm/
# crmsci: http://www.cidoc-crm.org/extensions/crmsci/
# crminf: http://www.cidoc-crm.org/extensions/crminf/
# rico: https://www.ica.org/standards/RiC/ontology#
subject_id	subject_label	predicate_id	predicate_modifier	object_id	object_label	match_type	subject_source	object_source	mapping_tool	confidence	subject_match_field	object_match_field	subject_category	object_category	match_string	comment
heritageGraph:guthi_type	guthi_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:has_architectural_style	has_architectural_style	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:has_condition_type	has_condition_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:has_religious_tradition	has_religious_tradition	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
dcterms:identifier	id	skos:exactMatch		schema:identifier		skos:exactMatch	HeritageGraph									
heritageGraph:invokes_deity	invokes_deity	skos:broadMatch		crm:P12_occurred_in_the_presence_of		skos:broadMatch	HeritageGraph									
heritageGraph:is_about_entity	is_about_entity	skos:broadMatch		crm:P129_is_about		skos:broadMatch	HeritageGraph									
heritageGraph:is_about_event	is_about_event	skos:broadMatch		crm:P129_is_about		skos:broadMatch	HeritageGraph									
heritageGraph:is_invoked_in_ritual	is_invoked_in_ritual	skos:broadMatch		crm:P12i_was_present_at		skos:broadMatch	HeritageGraph									
heritageGraph:manifests_divine_presence	manifests_divine_presence	skos:broadMatch		crm:P12_occurred_in_the_presence_of		skos:broadMatch	HeritageGraph									
heritageGraph:orcid_identifier	orcid_identifier	skos:broadMatch		dcterms:identifier		skos:broadMatch	HeritageGraph									
heritageGraph:participates_in_ritual	participates_in_ritual	skos:broadMatch		crm:P12i_was_present_at		skos:broadMatch	HeritageGraph									
heritageGraph:performed_by_group	performed_by_group	skos:broadMatch		crm:P14_carried_out_by		skos:broadMatch	HeritageGraph									
heritageGraph:performs_ritual	performs_ritual	skos:broadMatch		crm:P14i_performed		skos:broadMatch	HeritageGraph									
heritageGraph:place_type	place_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:publication_timespan	publication_timespan	skos:broadMatch		crm:P4_has_time-span		skos:broadMatch	HeritageGraph									
heritageGraph:ritual_type	ritual_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:route_places	route_places	skos:broadMatch		crm:P7_took_place_at		skos:broadMatch	HeritageGraph									
heritageGraph:syncretic_type	syncretic_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:syncretic_type	SyncreticRelationship_syncretic_type	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:has_architectural_style	Temple_has_architectural_style	skos:broadMatch		crm:P2_has_type		skos:broadMatch	HeritageGraph									
heritageGraph:transferred_to_guthi	transferred_to_guthi	skos:broadMatch		crm:P29_custody_received_by		skos:broadMatch	HeritageGraph									
heritageGraph:was_documented_by	was_documented_by	skos:broadMatch		prov:wasGeneratedBy		skos:broadMatch	HeritageGraph									
crm:E39_Actor	Actor	skos:broadMatch		edm:Agent		skos:broadMatch	HeritageGraph									
crm:E25_Architectural_Element	ArchitecturalElement	skos:exactMatch		aat:300000885		skos:exactMatch	HeritageGraph									
heritageGraph:ArchitecturalStructure	ArchitecturalStructure	skos:broadMatch		aat:300004792		skos:broadMatch	HeritageGraph									
heritageGraph:ArchitecturalStructure	ArchitecturalStructure	skos:closeMatch		schema:CivicStructure		skos:closeMatch	HeritageGraph									
heritageGraph:ArchitecturalStructure	ArchitecturalStructure	skos:exactMatch		wikidata:Q811979		skos:exactMatch	HeritageGraph									
heritageGraph:ArchivalRecord	ArchivalRecord	skos:broadMatch		crm:E31_Document		skos:broadMatch	HeritageGraph									
heritageGraph:ArchivalRecord	ArchivalRecord	skos:exactMatch		rico:Record		skos:exactMatch	HeritageGraph									
heritageGraph:BuddhistMonument	BuddhistMonument	skos:exactMatch		aat:300007576		skos:exactMatch	HeritageGraph									
heritageGraph:BuddhistMonument	BuddhistMonument	skos:exactMatch		wikidata:Q177980		skos:exactMatch	HeritageGraph									
time:Calendar	CalendarSystem	skos:broadMatch		crm:E29_Designated_Reference_System		skos:broadMatch	HeritageGraph									
heritageGraph:CasteGroup	CasteGroup	skos:broadMatch		crm:E74_Group		skos:broadMatch	HeritageGraph									
heritageGraph:DataSource	DataSource	skos:broadMatch		edm:WebResource		skos:broadMatch	HeritageGraph									
heritageGraph:DataSource	DataSource	skos:broadMatch		crm:E73_Information_Object		skos:broadMatch	HeritageGraph									
crm:E28_Conceptual_Object	Deity	skos:exactMatch		aat:300343850		skos:exactMatch	HeritageGraph									
crm:E28_Conceptual_Object	Deity	skos:exactMatch		dbo:Deity		skos:exactMatch	HeritageGraph									
crm:E28_Conceptual_Object	Deity	skos:exactMatch		schema:Deity		skos:exactMatch	HeritageGraph									
heritageGraph:DocumentationActivity	DocumentationActivity	skos:broadMatch		prov:Activity		skos:broadMatch	HeritageGraph									
heritageGraph:DocumentationActivity	DocumentationActivity	skos:exactMatch		crm:E7_Activity		skos:exactMatch	HeritageGraph									
heritageGraph:Guthi	Guthi	skos:broadMatch		crm:E74_Group		skos:broadMatch	HeritageGraph									
heritageGraph:HeritageActivity	HeritageActivity	skos:exactMatch		crm:E7_Activity		skos:exactMatch	HeritageGraph									
crminf:I2_Belief	HeritageAssertion	skos:broadMatch		prov:Entity		skos:broadMatch	HeritageGraph									
crminf:I2_Belief	HeritageAssertion	skos:exactMatch		schema:Claim		skos:exactMatch	HeritageGraph									
crm:E22_Human-Made_Object	HumanMadeObject	skos:broadMatch		edm:PhysicalThing		skos:broadMatch	HeritageGraph									
crm:E22_Human-Made_Object	HumanMadeObject	skos:exactMatch		schema:CreativeWork		skos:exactMatch	HeritageGraph									
crm:E22_Human-Made_Object	HumanMadeObject	skos:exactMatch		aat:300117127		skos:exactMatch	HeritageGraph									
crm:E22_Human-Made_Object	HumanMadeObject	skos:exactMatch		wikidata:Q838948		skos:exactMatch	HeritageGraph									
heritageGraph:IconographicObject	IconographicObject	skos:broadMatch		aat:300264387		skos:broadMatch	HeritageGraph									
heritageGraph:IconographicObject	IconographicObject	skos:closeMatch		crm:E36_Visual_Item		skos:closeMatch	HeritageGraph									
heritageGraph:IconographicObject	IconographicObject	skos:exactMatch		dbo:Artwork		skos:exactMatch	HeritageGraph									
heritageGraph:LivingGoddessRetirement	LivingGoddessRetirement	skos:broadMatch		crm:E7_Activity		skos:broadMatch	HeritageGraph									
heritageGraph:LivingGoddessSelection	LivingGoddessSelection	skos:broadMatch		crm:E7_Activity		skos:broadMatch	HeritageGraph									
heritageGraph:Murti	Murti	skos:exactMatch		aat:300047090		skos:exactMatch	HeritageGraph									
heritageGraph:Murti	Murti	skos:exactMatch		wikidata:Q2594295		skos:exactMatch	HeritageGraph									
heritageGraph:Paubha	Paubha	skos:broadMatch		aat:300033666		skos:broadMatch	HeritageGraph									
heritageGraph:Paubha	Paubha	skos:closeMatch		wikidata:Q130993		skos:closeMatch	HeritageGraph									
crm:E21_Person	Person	skos:broadMatch		foaf:Person		skos:broadMatch	HeritageGraph									
crm:E21_Person	Person	skos:broadMatch		edm:Agent		skos:broadMatch	HeritageGraph									
heritageGraph:PhysicalHeritageThing	PhysicalHeritageThing	skos:broadMatch		edm:PhysicalThing		skos:broadMatch	HeritageGraph									
crm:E53_Place	Place	skos:broadMatch		edm:Place		skos:broadMatch	HeritageGraph									
crm:E55_Type	ReligiousTradition	skos:exactMatch		aat:300073708		skos:exactMatch	HeritageGraph									
heritageGraph:RitualEvent	RitualEvent	skos:broadMatch		aat:300054754		skos:broadMatch	HeritageGraph									
